noisy_path,clean_path,snr_db
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00000.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00000.wav,3.6
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00001.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00001.wav,3.3
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00002.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00002.wav,11.4
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00003.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00003.wav,-5.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00004.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00004.wav,9.9
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00005.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00005.wav,10.0
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00006.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00006.wav,3.0
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00007.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00007.wav,2.2
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00008.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00008.wav,-5.8
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00009.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00009.wav,-7.5
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00010.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00010.wav,1.0
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00011.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00011.wav,12.5
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00012.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00012.wav,8.4
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00013.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00013.wav,-6.6
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00014.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00014.wav,1.3
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00015.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00015.wav,5.6
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00016.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00016.wav,-4.6
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00017.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00017.wav,13.3
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00018.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00018.wav,4.2
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00019.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00019.wav,2.2
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00020.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00020.wav,-0.9
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00021.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00021.wav,-9.4
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00022.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00022.wav,-3.2
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00023.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00023.wav,-6.6
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00024.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00024.wav,4.0
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00025.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00025.wav,3.4
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00026.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00026.wav,-6.4
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00027.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00027.wav,-0.8
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00028.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00028.wav,0.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00029.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00029.wav,-2.6
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00030.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00030.wav,8.0
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00031.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00031.wav,-6.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00032.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00032.wav,5.6
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00033.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00033.wav,-4.8
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00034.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00034.wav,14.6
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00035.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00035.wav,11.6
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00036.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00036.wav,-6.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00037.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00037.wav,6.8
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00038.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00038.wav,6.6
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00039.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00039.wav,7.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00040.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00040.wav,-8.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00041.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00041.wav,10.6
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00042.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00042.wav,5.9
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00043.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00043.wav,0.9
